BERDO ID,Tax Parcel ID,Property Owner Name,Building Address ,Building Address City,Building Address Zip Code,Parcel Address ,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),"Renewable System Electricity Usage Onsite (kBtu)
",District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Water Usage Intensity (Gallons/ft²),Compliance Status,BERDO Reporting Status,Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA) ,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Cooresponding Campus ID,Notes,
100182,0401092000,500 boylston & 222 berkeley,500 boylston st.,boston,02116,500 boylston st,boston,02116,761594,250368,Office,"Office,Other,Parking",45.2,78,34402724.8,,34402718.3,,,,,,,,,,,,7.58,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
100183,0401096000,500 boylston & 222 berkeley,222 berkeley street,boston,02116,222 berkeley st,boston,02116,551775,172800,Office,"Bank Branch,Fast Food Restaurant,Office,Parking,Restaurant,Retail Store",40.7,84,22472106.5,,22472107.6,,,,,,,,,,,,1.51,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
104891,0302870000,one boston place llc,one boston place,boston,02108,201 washington st,boston,02108,884132,,Office,Office,70.6,71,62445374.2,258410.8,25901362.1,,,,36285601.2,,,,,,,,5.62,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
100203,0602678701,601 congress ma llc  lessee,601 congress st,boston,02210,601 congress st,boston,02210,446760,97620,Financial Office,"Data Center,Financial Office,Parking",29.2,,13063405.2,31000,13032403.5,,,,,,,,,,,,3.02,in compliance,7 - berdo accepted,Yes,No,No,Yes,No,Yes,,,
101336,0401134000,bp hancock llc mass llc,200 clarendon street,boston,02116,200 clarendon st,boston,02116,2379762,84099,Office,"Data Center,Office,Other,Parking",74.4,60,177012044.1,,85832613.2,,,,91179414.4,,,,,,,,8.01,in compliance,7 - berdo accepted,I'm not sure,No,Yes,Yes,No,Yes,,,
103940,0401115000,john hancock life,190-200 berkeley st,boston,02116,90 st james st,boston,02116,1624928,,Financial Office,"Data Center,Financial Office",45.3,91,73626152.3,,47239958.9,,,,26386206.3,,,,,,,,4.39,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
106247,0304390000,trea 99 high street llc,99 high st,boston,02110,99 high st,boston,02110,731205,73059,Office,"Bank Branch, Office, Other - Restaurant/Bar, Parking",60.2,83,43992807.8,21800959,22191849.3,,,,,,,,,,,,6.72,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,
106418,0304023000,two sixty franklin inc,260 franklin st,boston,02109,260 franklin st,boston,02109,372562,33088,Office,"Office, Parking",43.8,79,16313756.1,,16313754.7,,,,,,,,,,,,4.98,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
100371,0303998000,aman inc del corp,20 custom house st,boston,02109,54  62 broad st,boston,02109,96032,,Office,Office,99.6,23,9568827.7,,9568827.8,,,,,,,,,,,,14.79,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
106121,0304304400,third sector new england inc,89 south street,boston,02111,89 south st,boston,02111,107432,,Office,Office,44.2,86,4751266.2,1216140.5,3535125.4,,,,,,,,,,,,4.58,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
100229,0303860000,75 state owner llc,75 state street,boston,02109,75 state st,boston,02109,813261,235000,Office,,44.1,84,35856718.6,,35856708,,,,,,,,,,,,6.62,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,
100009,0304220000,100 summer owner llc,100 summer street,boston,02110,100 summer st,boston,02110,1113465,21580,Office,"Fast Food Restaurant, Office, Parking",65,65,72397639.9,,39139325,,,,33258330.2,,,,,,,,5.77,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,
104941,0304256000,opg 125 summer owner (de)llc,125 summer st,boston,02110,125 summer st,boston,02110,521903,122500,Office,"Data Center, Office, Parking",44.4,76,23186031.7,249500,22936532,,,,,,,,,,,,5.85,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
105713,0302713000,shigo center plaza owner llc,1 center plaza,boston,02108,1 center pz,boston,02108,741231,238083,Office,"Bank Branch, Fast Food Restaurant, Office, Parking, Restaurant, Retail Store",41.9,90,31086715.3,7488531,23598183.6,,,,,,,,,,,,5,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
100398,0303685000,anbeca 60 llc,60 state street,boston,02109,60 state st,boston,02109,963984,75645,Office,"Data Center, Financial Office, Office, Parking, Restaurant",59.4,70,57279371.3,359978,39915998.5,,,,17003383.1,,,,,,,,11.66,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
104911,0304160000,one post office square llc,1 post office sq,boston,02110,6  22 pearl st,boston,02110,1212374,0,Office,,31,,37544326.7,16886917.6,20657408.1,,,,,,,,,,,,3.48,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
106425,0304134000,two25 franklin owner llc,225 franklin street,boston,02110,209  245 franklin st,boston,02110,1045851,63391,Office,"Data Center,Office,Parking",54.4,81,56858552.2,,34579903.5,,,,22278633.2,,,,,,,,5.45,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
100007,0304408000,100 high owner llc,100 high street,boston,02110,100 high st,boston,02110,550326,94644,Office,"Data Center, Office, Parking",49.9,75,27448048.3,,27448049,,,,,,,,,,,,5.74,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,
