BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,"
Reported Gross Floor Area (Sq Ft)","
Reported Enclosed Parking Area (Sq Ft) ",Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft²),"
Energy Star Score",Total Site Energy Usage (kBtu),"
Natural Gas Usage (kBtu)","
Electricity Usage (kBtu)","
Renewable System Electricity Usage Onsite (kBtu)","
District Hot Water Usage (kBtu)","
District Chilled Water Usage (kBtu)","
District Steam Usage (kBtu)","
Fuel Oil 1 Usage (kBtu)","
Fuel Oil 2 Usage (kBtu)","
Fuel Oil 4 Usage (kBtu)","
Fuel Oil 5 and 6 Usage (kBtu)","
Propane Usage (kBtu)","
Diesel Usage (kBtu)","
Kerosene Usage (kBtu)","
Water Usage Intensity (Gallons/ft²)",Compliance Status,BERDO Report Status,Estimated Total GHG Emissions (kgCO2e),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Cooresponding Campus ID ,Notes
100001,0303060001,1 LOVEJOY WHARF BOSTON  REALTY LLC,160  170 n washington st,boston,02114,160 170 n washington st,boston,02114,236688.0,,Office,"Office , Retail Store ",68.3,57,16177367.5,4101525.0,12075842.5,,,,,,,,,,,,9.29,In Compliance,7 - Accepted by BERDO Team,1173031,No,No,No,Yes,No,No,,
100002,0304794000,10 TEMPLE PLACE LP,2-24 temple pl,boston,02111,24 2 temple pl,boston,02111,135344.0,,Multifamily Housing,"Personal Services Health/Beauty, Dry Cleaning, etc , Restaurant , Multifamily Housing , Medical Office , Supermarket/Grocery Store ",61.0,,8251242.7,5517394.8,2733847.9,,,,,,,,,,,,52.25,In Compliance,7 - Accepted by BERDO Team,509276,No,No,No,Yes,No,No,,
100003,0602757045,10-20 CHANNEL CENTER,20 channel center st,boston,02127,20 30 channel center st,boston,02127,255383.0,,Office,Office ,36.0,,9182640.8,,9182640.5,,,,,,,,,,,,5.60,In Compliance,7 - Accepted by BERDO Team,726347,No,No,No,No,No,No,,
100005,0304718000,10-24 SCHOOL STREET,24 school st,boston,02108,12 province st,boston,02108,134789.0,,Office,"Office , Data Center , Retail Store ",55.5,90,7480044.0,613.8,3783686.2,,,,3695743.9,,,,,,,,4.94,In Compliance,7 - Accepted by BERDO Team,544720,No,No,No,Yes,No,No,,
100007,0304408000,100 HIGH OWNER LLC,100 high st,boston,02110,100 high st,boston,02110,550326.0,94644,Office,"Office , Data Center , Other - Restaurant/Bar N/A, Parking ",52.6,72,28955904.0,,28955903.9,,,,,,,,,,,,7.03,In Compliance,7 - Accepted by BERDO Team,2290412,No,No,No,Yes,No,Yes,,
100008,0602671039,100 NORTHERN AVENUE LLC,90  110 northern av,boston,02210,90 110 northern av,boston,02210,572998.0,166100,Office,"Restaurant , Office , Data Center , Parking ",83.7,50,47964541.9,16261839.9,31702700.4,,,,,,,,,,,,10.08,In Compliance,7 - Accepted by BERDO Team,3371350,No,No,No,Yes,No,Yes,,
100009,0304220000,100 SUMMER OWNER LLC,100 summer st,boston,02110,100 summer st,boston,02110,1113465.0,21580,Office,"Office , Parking , Fast Food Restaurant ",84.4,50,94006017.9,,38052091.2,,,,55953938.3,,,,,,,,5.91,In Compliance,7 - Accepted by BERDO Team,6725262,No,No,No,Yes,No,Yes,,
100013,1001625010,101 HUNTINGTON OWNER (DE)  LLC,101 s huntington ave,boston,02199,105 s huntington av,boston,02199,205000.0,68250,Multifamily Housing,"Multifamily Housing , Heated Swimming Pool , Parking ",47.2,88,9682567.7,4877800.0,4804768.2,,,,,,,,,,,,36.65,In Compliance,7 - Accepted by BERDO Team,639117,I'm not sure,No,No,No,No,No,,
100014,0301675000,101 MERRIMAC OWNER LLC,101 merrimac st,boston,02114,101 merrimac st,boston,02114,162664.0,14627,Office,"Office , Parking ",47.6,84,7749001.7,414423.1,7334578.5,,,,,,,,,,,,7.07,In Compliance,7 - Accepted by BERDO Team,602175,No,No,No,Yes,No,No,,
100015,0602643020,101 SEAPORT BOULEVARD,101 seaport bl,boston,02210,101 seaport bl,boston,02210,620642.0,144404,Office,"Office , Parking ",55.8,82,34653551.2,11674103.0,22979448.1,,,,,,,,,,,,9.27,In Compliance,7 - Accepted by BERDO Team,2437686,No,No,No,Yes,No,Yes,,
100016,0304578000,101 SUMMER STREET INC,105-111 summer st,boston,02110,101 111 summer st,boston,02110,52651.0,,Office,Office ,73.7,49,3881054.2,1589705.2,2291349.1,,,,,,,,,,,,12.22,In Compliance,7 - Accepted by BERDO Team,265675,Yes,No,No,Yes,No,No,,
100023,0303842000,112 LLC,98-114 water st,boston,02109,102 114 water st,boston,02109,25320.0,,Office,Office ,30.4,92,769363.0,271600.0,497763.0,,,,,,,,,,,,2230.62,In Compliance,7 - Accepted by BERDO Team,53798,No,No,No,No,No,No,,
100024,0306400000,1134 WASHINGTON STREET,1134-1140 washington st,boston,02118,1134 1140 washington st,boston,02118,33538.0,,Multifamily Housing,"Multifamily Housing , Bank Branch , Other ",37.4,,1254138.2,833500.0,420638.2,,,,,,,,,,,,,In Compliance,7 - Accepted by BERDO Team,77540,I`m not sure,No,No,No,No,No,,
100027,2200550000,1200 SFR LLC,1200 soldiers field rd,boston,02134,1200 soldiers field rd,boston,02134,27543.0,,Office,Office ,35.2,82,970245.1,271189.1,699056.0,,,,,,,,,,,,1.48,In Compliance,7 - Accepted by BERDO Team,69698,I'm not sure,No,No,No,No,No,,
100028,0602643040,121 SEAPORT BOULEVARD CONDOMINIIUM TRUST,113  129 seaport bl,boston,02210,113 129 seaport bl,boston,02210,486562.0,130276,Office,"Office , Parking ",56.3,81,27398360.7,9172813.9,18225546.0,,,,,,,,,,,,7.05,In Compliance,7 - Accepted by BERDO Team,1928809,No,No,No,Yes,No,Yes,,
100031,1101208030,125 AMORY LEASEHOLD CONDOMINIUM ASSOCIATION,125 amory st,boston,02119,125 amory st,boston,02119,113806.0,,Multifamily Housing,Multifamily Housing ,97.4,7,11082552.8,3177877.1,7904675.9,,,,,,,,,,,,63.07,In Compliance,7 - Accepted by BERDO Team,794037,No,No,No,Yes,No,No,,
100035,0304334000,125 LINCOLN STREET OWNER LLC,109-153 lincoln st,boston,02111,109 153 lincoln st,boston,02111,110832.0,,Office,"Office , Parking , Retail Store ",36.9,,4093256.9,3850500.0,242757.0,,,,,,,,,,,,7.64,In Compliance,7 - Accepted by BERDO Team,223702,No,No,No,No,No,No,,
100036,0504328000,126 BROOKLINE AVENUE LLC,122-130 brookline ave,boston,02215,122 130 brookline av,boston,02215,71844.0,,Retail Store,"Restaurant , Office , Retail Store , Other ",109.0,,7833393.6,1974977.4,5858417.6,,,,,,,,,,,,51.45,In Compliance,7 - Accepted by BERDO Team,568292,Yes,No,No,No,No,No,,
100037,0602642000,133 SEAPORT RESIDENTIAL CONDOMINIUM TRUST,131-153 seaport blvd,boston,02210,131 149 seaport bl,boston,02210,193939.0,,Multifamily Housing,Multifamily Housing ,57.0,78,11048966.0,7392786.4,3656179.8,,,,,,,,,,,,24.36,In Compliance,7 - Accepted by BERDO Team,681835,I'm not sure,No,No,Maybe,No,No,,
