Year,Assembly,College/University,Education,Food Sales & Service,Healthcare,Lodging,Manufacturing/Industrial,Multifamily housing,Office,Retail,Services,Storage,Technology/Science
2025,7.8,10.2,3.9,17.4,15.4,5.8,23.9,4.1,5.3,7.1,7.5,5.4,19.2
2026,7.8,10.2,3.9,17.4,15.4,5.8,23.9,4.1,5.3,7.1,7.5,5.4,19.2
2027,7.8,10.2,3.9,17.4,15.4,5.8,23.9,4.1,5.3,7.1,7.5,5.4,19.2
2028,7.8,10.2,3.9,17.4,15.4,5.8,23.9,4.1,5.3,7.1,7.5,5.4,19.2
2029,7.8,10.2,3.9,17.4,15.4,5.8,23.9,4.1,5.3,7.1,7.5,5.4,19.2
2030,4.6,5.3,2.4,10.9,10,3.7,15.3,2.4,3.2,3.4,4.5,2.8,11.1
2031,4.6,5.3,2.4,10.9,10,3.7,15.3,2.4,3.2,3.4,4.5,2.8,11.1
2032,4.6,5.3,2.4,10.9,10,3.7,15.3,2.4,3.2,3.4,4.5,2.8,11.1
2033,4.6,5.3,2.4,10.9,10,3.7,15.3,2.4,3.2,3.4,4.5,2.8,11.1
2034,4.6,5.3,2.4,10.9,10,3.7,15.3,2.4,3.2,3.4,4.5,2.8,11.1
2035,3.3,3.8,1.8,8,7.4,2.7,10.9,1.8,2.4,2.4,3.3,1.8,7.8
2036,3.3,3.8,1.8,8,7.4,2.7,10.9,1.8,2.4,2.4,3.3,1.8,7.8
2037,3.3,3.8,1.8,8,7.4,2.7,10.9,1.8,2.4,2.4,3.3,1.8,7.8
2038,3.3,3.8,1.8,8,7.4,2.7,10.9,1.8,2.4,2.4,3.3,1.8,7.8
2039,3.3,3.8,1.8,8,7.4,2.7,10.9,1.8,2.4,2.4,3.3,1.8,7.8
2040,2.1,2.5,1.2,5.4,4.9,1.8,6.7,1.1,1.6,1.5,2.2,1,5.1
2041,2.1,2.5,1.2,5.4,4.9,1.8,6.7,1.1,1.6,1.5,2.2,1,5.1
2042,2.1,2.5,1.2,5.4,4.9,1.8,6.7,1.1,1.6,1.5,2.2,1,5.1
2043,2.1,2.5,1.2,5.4,4.9,1.8,6.7,1.1,1.6,1.5,2.2,1,5.1
2044,2.1,2.5,1.2,5.4,4.9,1.8,6.7,1.1,1.6,1.5,2.2,1,5.1
2045,1.1,1.2,0.6,2.7,2.4,0.9,3.2,0.6,0.8,0.7,1.1,0.4,2.5
2046,1.1,1.2,0.6,2.7,2.4,0.9,3.2,0.6,0.8,0.7,1.1,0.4,2.5
2047,1.1,1.2,0.6,2.7,2.4,0.9,3.2,0.6,0.8,0.7,1.1,0.4,2.5
2048,1.1,1.2,0.6,2.7,2.4,0.9,3.2,0.6,0.8,0.7,1.1,0.4,2.5
2049,1.1,1.2,0.6,2.7,2.4,0.9,3.2,0.6,0.8,0.7,1.1,0.4,2.5
2050+,0,0,0,0,0,0,0,0,0,0,0,0,0
