BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address Zip Code,Parcel Address,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft²),Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Water Usage Intensity (Gallons/ft²),Estimated Total GHG Emissions (kgCO2e),Cooresponding Campus ID,Site EUI (Energy Use Intensity kBtu/ft2),Unnamed: 40
100018,2100472000,1047 commonwealth project owner llc,1047 Commonwealth Ave,02134,1047 Commonwealth Av,2134.0,,,,,,,,,,,,,,,,,,,,,,,
100026,0802471000,12 mount vernon street llc,1127-1131 Harrison Ave,02119,14  26 Palmer St,2119.0,,,,,,,,,,,,,,,,,,,,,,,
100029,1809104000,1217 hp realty trust,1217 Hyde Park Ave,02136,1217 R1217 Hyde Park Av,2136.0,,,,,,,,,,,,,,,,,,,,,,,
100040,1500287000,1334 dot llc,1334-1342 Dorchester Ave,02122,1342  1334 Dorchester Av,2122.0,,,,,,,,,,,,,,,,,,,,,,,
100042,2100842000,138 harvard llc,138 Harvard Ave,02134,138 Harvard Av,2134.0,,,,,,,,,,,,,,,,,,,,,,,
100044,0600030000,14 west condominium trust,14  16 W Broadway,02127,14  16 W Broadway,2127.0,,,,,,,,,,,,,,,,,,,,,,,
100052,0802549000,150 dudley llc,152-156 Dudley St,02119,150  156 Dudley St,2119.0,,,,,,,,,,,,,,,,,,,,,,,
100053,0600301000,150 west broadway condominium trust,150 W Broadway,02127,152  156 W Broadway,2127.0,,,,,,,,,,,,,,,,,,,,,,,
100061,1809452001,1717 hyde park avenue llc,1717-1719 Hyde Park Ave,02136,1725 Hyde Park Av,2136.0,,,,,,,,,,,,,,,,,,,,,,,
100062,0304445000,18-20 oxford street llc,18-20 Oxford St,02111,20  18 Oxford St,2111.0,,,,,,,,,,,,,,,,,,,,,,,
