BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address Zip Code,Parcel Address,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft2),Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Cooresponding Campus ID,Unnamed: 40,Data Year
100011,0306234010,1000 washington (boston),1000-1020 Washington St,02118,321 Harrison Av,2118.0,274560.0,Office,"Laboratory,Parking",46.3,12710230.2,,11118343.2,,,,,,,,,,,,,,2021
100017,0304717000,101bos llc,100-102 Tremont St,02108,75  59 Bromfield St,2108.0,78608.0,Office,"Office, Restaurant",121.8,9575445.3,4659840.3,4915603.6,,,,,,,,,,,,,,2021
100025,2100753000,1139 commonwealth llc mass llc,1139 Commonwealth Ave,02134,1139 Commonwealth Av,2134.0,23830.0,Multifamily Housing,Multifamily Housing,79.9,1903822.2,1727718.7,176103.6,,,,,,,,,,,,,,2021
100030,0703576000,1246 mass ave llc,1246-1250 Massachusetts Ave,02125,1246 Massachusetts Av,2125.0,26140.0,Manufacturing/Industrial Plant,,205.7,5377084.2,3746099.8,1630984.5,,,,,,,,,,,,,,2021
100043,0304692050,14 beacon street llc,14 14A Beacon St,02108,14 14A Beacon St,2108.0,88203.0,Office,"Library, Office",33.3,2935311.2,1554590.8,1380720.4,,,,,,,,,,,,,,2021
100093,0305364005,245 summer street llc,245 Summer St,02210,245 Summer St,2210.0,906422.0,Office,"Data Center, Financial Office, Office, Restaurant",76.7,69545726.9,13937549.2,54643418.8,,,,,,964758.1,,,,,,,,2021
100105,1600589000,286 adams street llc,286 Adams St,02122,101 Park St,2122.0,27060.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",27.7,749174.3,366808.5,382365.8,,,,,,,,,,,,,,2021
100111,0304947000,30 kneeland llc,24-44 Kneeland St,02111,24  44 Kneeland St,2111.0,20218.0,Office,,75.9,1535112.8,716400.0,818712.8,,,,,,,,,,,,,,2021
100119,1102013000,3193 washington development llc,3193-3201 Washington St,02130,3193  3201 Washington St,2130.0,45710.0,Multifamily Housing,,26.0,1188039.5,489900.0,698139.6,,,,,,,,,,,,,,2021
100122,0104128000,320 maverick place condominium  trust,320 Maverick St,02128,320 Maverick St,2128.0,16537.0,Multifamily Housing,,86.4,1427984.6,884900.0,543084.6,,,,,,,,,,,,,,2021
