BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address Zip Code,Parcel Address,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Largest Property Type,All Property Types,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Estimated Total GHG Emissions (kgCO2e),Cooresponding Campus ID,Data Year,Site EUI (Energy Use Intensity kBtu/ft2)
100001,303060001.0,1 LOVEJOY WHARF BOSTON  REALTY LLC,160  170 N Washington St,2114.0,160 170 N Washington St,2114.0,236688.0,Office,"Office , Retail Store ",16177367.5,4101525.0,12075842.5,,,,,,,,,,,,1173031.0,,2022,68.3
100002,304794000.0,10 TEMPLE PLACE LP,2-24 Temple Pl,2111.0,24 2 Temple Pl,2111.0,135344.0,Multifamily Housing,"Personal Services Health/Beauty, Dry Cleaning, etc , Restaurant , Multifamily Housing , Medical Office , Supermarket/Grocery Store ",8251242.7,5517394.8,2733847.9,,,,,,,,,,,,509276.0,,2022,61.0
100003,602757045.0,10-20 CHANNEL CENTER,20 Channel Center St,2127.0,20 30 Channel Center St,2127.0,255383.0,Office,Office ,9182640.8,,9182640.5,,,,,,,,,,,,726347.0,,2022,36.0
100005,304718000.0,10-24 SCHOOL STREET,24 School St,2108.0,12 Province St,2108.0,134789.0,Office,"Office , Data Center , Retail Store ",7480044.0,613.8,3783686.2,,,,3695743.9,,,,,,,,544720.0,,2022,55.5
100007,304408000.0,100 HIGH OWNER LLC,100 High St,2110.0,100 High St,2110.0,550326.0,Office,"Office , Data Center , Other - Restaurant/Bar N/A, Parking ",28955904.0,,28955903.9,,,,,,,,,,,,2290412.0,,2022,52.6
100008,602671039.0,100 NORTHERN AVENUE LLC,90  110 Northern Ave,2210.0,90 110 Northern Ave,2210.0,572998.0,Office,"Restaurant , Office , Data Center , Parking ",47964541.9,16261839.9,31702700.4,,,,,,,,,,,,3371350.0,,2022,83.7
100009,304220000.0,100 SUMMER OWNER LLC,100 Summer St,2110.0,100 Summer St,2110.0,1113465.0,Office,"Office , Parking , Fast Food Restaurant ",94006017.9,,38052091.2,,,,55953938.3,,,,,,,,6725262.0,,2022,84.4
100013,1001625010.0,101 HUNTINGTON OWNER (DE)  LLC,101 S Huntington Ave,2199.0,105 S Huntington Ave,2199.0,205000.0,Multifamily Housing,"Multifamily Housing , Heated Swimming Pool , Parking ",9682567.7,4877800.0,4804768.2,,,,,,,,,,,,639117.0,,2022,47.2
100014,301675000.0,101 MERRIMAC OWNER LLC,101 Merrimac St,2114.0,101 Merrimac St,2114.0,162664.0,Office,"Office , Parking ",7749001.7,414423.1,7334578.5,,,,,,,,,,,,602175.0,,2022,47.6
100015,602643020.0,101 SEAPORT BOULEVARD,101 Seaport Blvd,2210.0,101 Seaport Blvd,2210.0,620642.0,Office,"Office , Parking ",34653551.2,11674103.0,22979448.1,,,,,,,,,,,,2437686.0,,2022,55.8
