reporting_id,address,zip_code,owner_name,property_gfa,primary_property_type,all_property_types
100001,160  170 N Washington St,2114,1 LOVEJOY WHARF BOSTON  REALTY LLC,236688,Office,"Office , Retail Store"
100002,2-24 Temple Pl,2111,10 TEMPLE PLACE LP,135344,Multifamily Housing,"Personal Services Health/Beauty, Dry Cleaning, etc , Restaurant , Multifamily Housing , Medical Office , Supermarket/Grocery Store"
100003,20 Channel Center St,2127,10-20 CHANNEL CENTER,255383,Office,Office
100005,24 School St,2108,10-24 SCHOOL STREET,134789,Office,"Office , Data Center , Retail Store"
100007,100 High St,2110,100 HIGH OWNER LLC,550326,Office,"Office , Data Center , Other - Restaurant/Bar N/A"
100008,90  110 Northern Ave,2210,100 NORTHERN AVENUE LLC,572998,Office,"Restaurant , Office , Data Center"
100009,100 Summer St,2110,100 SUMMER OWNER LLC,1113465,Office,"Office,Fast Food Restaurant"
100011,1000-1020 Washington St,2118,1000 washington (boston),274560,Office,Laboratory
100013,101 S Huntington Ave,2199,101 HUNTINGTON OWNER (DE)  LLC,205000,Multifamily Housing,"Multifamily Housing , Heated Swimming Pool"
100014,101 Merrimac St,2114,101 MERRIMAC OWNER LLC,162664,Office,Office
100015,101 Seaport Blvd,2210,101 SEAPORT BOULEVARD,620642,Office,Office
100016,105-111 Summer St,2110,101 SUMMER STREET INC,52651,Office,Office
100017,100-102 Tremont St,2108,101bos llc,78608,Office,"Office, Restaurant"
100023,98-114 Water St,2109,112 LLC,25320,Office,Office
100024,1134-1140 Washington St,2118,1134 WASHINGTON STREET,33538,Multifamily Housing,"Multifamily Housing , Bank Branch , Other"
100025,1139 Commonwealth Ave,2134,1139 commonwealth llc mass llc,23830,Multifamily Housing,Multifamily Housing
100027,1200 Soldiers Field Rd,2134,1200 SFR LLC,27543,Office,Office
100028,113  129 Seaport Blvd,2210,121 SEAPORT BOULEVARD CONDOMINIIUM TRUST,486562,Office,Office
100030,1246-1250 Massachusetts Ave,2125,1246 mass ave llc,26140,Manufacturing/Industrial Plant,0
100031,125 Amory St,2119,125 AMORY LEASEHOLD CONDOMINIUM ASSOCIATION,113806,Multifamily Housing,Multifamily Housing
100035,109-153 Lincoln St,2111,125 LINCOLN STREET OWNER LLC,110832,Office,"Office,Retail Store"
100036,122-130 Brookline Ave,2215,126 BROOKLINE AVENUE LLC,71844,Retail Store,"Restaurant , Office , Retail Store , Other"
100037,131-153 Seaport Blvd,2210,133 SEAPORT RESIDENTIAL CONDOMINIUM TRUST,193939,Multifamily Housing,Multifamily Housing
100038,133 Seaport Blvd,2210,133 SEAPORT RESIDENTIAL CONDOMINIUM TRUST,266921,Multifamily Housing,Multifamily Housing
100039,133 Marlborough St,2116,133-135 MARLBOROUGH STREET,22214,Multifamily Housing,Multifamily Housing
100041,135 William T Morrissey Blvd,2127,135 MORRISSEY OWNER LLC,708310,Laboratory,"Office , Laboratory"
100043,14 14a Beacon St,2108,14 beacon street llc,88203,Office,"Library, Office"
100045,1455-1459 Tremont St #,2120,1457 TREMONT STREET LLC,38208,Multifamily Housing,"Multifamily Housing , Bank Branch"
100046,1486 Tremont St,2120,1480 TREMONT REALTY TRUST,75370,Multifamily Housing,Multifamily Housing
100049,15 Queensberry St,2215,15-19 QUEENSBERRY STREET LLC,19110,Multifamily Housing,Multifamily Housing
100051,150 Dorchester Ave,2127,150 DORCHESTER AVENUE,103803,Multifamily Housing,Multifamily Housing
100054,152 Hampden St,2119,152 HAMPDEN STREET LLC,21000,Office,"Bar/Nightclub , Office"
100055,16 Boardman St,2128,16 BOARDMAN STREET CONDOMINIUM TRUST,19700,Multifamily Housing,Multifamily Housing
100056,135 Athens St,2127,160 WEST BROADWAY,24358,Multifamily Housing,Multifamily Housing
100057,1650-1654 Commonwealth Ave,2135,16509 CWMA OWNER LLC,38640,Multifamily Housing,Multifamily Housing
100060,170 W Broadway,2127,170 WEST BROADWAY,67100,Multifamily Housing,Multifamily Housing
100064,185 Dudley St,2119,185 DUDLEY STREET LLC,20152,Office,Office
