year,energy_type,emissions_kgco2e_per_unit
2025,electricity,73.0
2025,natural_gas,53.11
2025,fuel_oil_1,73.5
2025,fuel_oil_2,74.21
2025,fuel_oil_4,75.29
2025,fuel_oil_5_and_6,75.35
2025,diesel_2,74.21
2025,propane,61.71
2025,kerosene,75.2
2025,district_chilled_water,66.4
2025,district_steam,66.4
2026,electricity,71.0
2026,natural_gas,53.11
2026,fuel_oil_1,73.5
2026,fuel_oil_2,74.21
2026,fuel_oil_4,75.29
2026,fuel_oil_5_and_6,75.35
2026,diesel_2,74.21
2026,propane,61.71
2026,kerosene,75.2
2026,district_chilled_water,66.4
2026,district_steam,66.4
2027,electricity,69.0
2027,natural_gas,53.11
2027,fuel_oil_1,73.5
2027,fuel_oil_2,74.21
2027,fuel_oil_4,75.29
2027,fuel_oil_5_and_6,75.35
2027,diesel_2,74.21
2027,propane,61.71
2027,kerosene,75.2
2027,district_chilled_water,66.4
2027,district_steam,66.4
2028,electricity,67.0
2028,natural_gas,53.11
2028,fuel_oil_1,73.5
2028,fuel_oil_2,74.21
2028,fuel_oil_4,75.29
2028,fuel_oil_5_and_6,75.35
2028,diesel_2,74.21
2028,propane,61.71
2028,kerosene,75.2
2028,district_chilled_water,66.4
2028,district_steam,66.4
2029,electricity,65.0
2029,natural_gas,53.11
2029,fuel_oil_1,73.5
2029,fuel_oil_2,74.21
2029,fuel_oil_4,75.29
2029,fuel_oil_5_and_6,75.35
2029,diesel_2,74.21
2029,propane,61.71
2029,kerosene,75.2
2029,district_chilled_water,66.4
2029,district_steam,66.4
2030,electricity,62.0
2030,natural_gas,53.11
2030,fuel_oil_1,73.5
2030,fuel_oil_2,74.21
2030,fuel_oil_4,75.29
2030,fuel_oil_5_and_6,75.35
2030,diesel_2,74.21
2030,propane,61.71
2030,kerosene,75.2
2030,district_chilled_water,66.4
2030,district_steam,66.4
2031,electricity,60.0
2031,natural_gas,53.11
2031,fuel_oil_1,73.5
2031,fuel_oil_2,74.21
2031,fuel_oil_4,75.29
2031,fuel_oil_5_and_6,75.35
2031,diesel_2,74.21
2031,propane,61.71
2031,kerosene,75.2
2031,district_chilled_water,66.4
2031,district_steam,66.4
2032,electricity,58.0
2032,natural_gas,53.11
2032,fuel_oil_1,73.5
2032,fuel_oil_2,74.21
2032,fuel_oil_4,75.29
2032,fuel_oil_5_and_6,75.35
2032,diesel_2,74.21
2032,propane,61.71
2032,kerosene,75.2
2032,district_chilled_water,66.4
2032,district_steam,66.4
2033,electricity,56.0
2033,natural_gas,53.11
2033,fuel_oil_1,73.5
2033,fuel_oil_2,74.21
2033,fuel_oil_4,75.29
2033,fuel_oil_5_and_6,75.35
2033,diesel_2,74.21
2033,propane,61.71
2033,kerosene,75.2
2033,district_chilled_water,66.4
2033,district_steam,66.4
2034,electricity,54.0
2034,natural_gas,53.11
2034,fuel_oil_1,73.5
2034,fuel_oil_2,74.21
2034,fuel_oil_4,75.29
2034,fuel_oil_5_and_6,75.35
2034,diesel_2,74.21
2034,propane,61.71
2034,kerosene,75.2
2034,district_chilled_water,66.4
2034,district_steam,66.4
2035,electricity,52.0
2035,natural_gas,53.11
2035,fuel_oil_1,73.5
2035,fuel_oil_2,74.21
2035,fuel_oil_4,75.29
2035,fuel_oil_5_and_6,75.35
2035,diesel_2,74.21
2035,propane,61.71
2035,kerosene,75.2
2035,district_chilled_water,66.4
2035,district_steam,66.4
2036,electricity,50.0
2036,natural_gas,53.11
2036,fuel_oil_1,73.5
2036,fuel_oil_2,74.21
2036,fuel_oil_4,75.29
2036,fuel_oil_5_and_6,75.35
2036,diesel_2,74.21
2036,propane,61.71
2036,kerosene,75.2
2036,district_chilled_water,66.4
2036,district_steam,66.4
2037,electricity,48.0
2037,natural_gas,53.11
2037,fuel_oil_1,73.5
2037,fuel_oil_2,74.21
2037,fuel_oil_4,75.29
2037,fuel_oil_5_and_6,75.35
2037,diesel_2,74.21
2037,propane,61.71
2037,kerosene,75.2
2037,district_chilled_water,66.4
2037,district_steam,66.4
2038,electricity,46.0
2038,natural_gas,53.11
2038,fuel_oil_1,73.5
2038,fuel_oil_2,74.21
2038,fuel_oil_4,75.29
2038,fuel_oil_5_and_6,75.35
2038,diesel_2,74.21
2038,propane,61.71
2038,kerosene,75.2
2038,district_chilled_water,66.4
2038,district_steam,66.4
2039,electricity,44.0
2039,natural_gas,53.11
2039,fuel_oil_1,73.5
2039,fuel_oil_2,74.21
2039,fuel_oil_4,75.29
2039,fuel_oil_5_and_6,75.35
2039,diesel_2,74.21
2039,propane,61.71
2039,kerosene,75.2
2039,district_chilled_water,66.4
2039,district_steam,66.4
2040,electricity,42.0
2040,natural_gas,53.11
2040,fuel_oil_1,73.5
2040,fuel_oil_2,74.21
2040,fuel_oil_4,75.29
2040,fuel_oil_5_and_6,75.35
2040,diesel_2,74.21
2040,propane,61.71
2040,kerosene,75.2
2040,district_chilled_water,66.4
2040,district_steam,66.4
2041,electricity,40.0
2041,natural_gas,53.11
2041,fuel_oil_1,73.5
2041,fuel_oil_2,74.21
2041,fuel_oil_4,75.29
2041,fuel_oil_5_and_6,75.35
2041,diesel_2,74.21
2041,propane,61.71
2041,kerosene,75.2
2041,district_chilled_water,66.4
2041,district_steam,66.4
2042,electricity,37.0
2042,natural_gas,53.11
2042,fuel_oil_1,73.5
2042,fuel_oil_2,74.21
