building_id,year,threshold_mt_co2e
1,2025,5.3
1,2026,5.3
1,2027,5.3
1,2028,5.3
1,2029,5.3
1,2030,3.2
1,2031,3.2
1,2032,3.2
1,2033,3.2
1,2034,3.2
1,2035,2.4
1,2036,2.4
1,2037,2.4
1,2038,2.4
1,2039,2.4
1,2040,1.6
1,2041,1.6
1,2042,1.6
1,2043,1.6
1,2044,1.6
1,2045,0.8
1,2046,0.8
1,2047,0.8
1,2048,0.8
1,2049,0.8
1,2050,0.0
2,2025,4.1
2,2026,4.1
2,2027,4.1
2,2028,4.1
2,2029,4.1
2,2030,2.4
2,2031,2.4
2,2032,2.4
2,2033,2.4
2,2034,2.4
2,2035,1.8
2,2036,1.8
2,2037,1.8
2,2038,1.8
2,2039,1.8
2,2040,1.1
2,2041,1.1
2,2042,1.1
2,2043,1.1
2,2044,1.1
2,2045,0.6
2,2046,0.6
2,2047,0.6
2,2048,0.6
2,2049,0.6
2,2050,0.0
3,2025,5.3
3,2026,5.3
3,2027,5.3
3,2028,5.3
3,2029,5.3
3,2030,3.2
3,2031,3.2
3,2032,3.2
3,2033,3.2
3,2034,3.2
3,2035,2.4
3,2036,2.4
3,2037,2.4
3,2038,2.4
3,2039,2.4
3,2040,1.6
3,2041,1.6
3,2042,1.6
3,2043,1.6
3,2044,1.6
3,2045,0.8
3,2046,0.8
3,2047,0.8
3,2048,0.8
3,2049,0.8
3,2050,0.0
4,2025,5.3
4,2026,5.3
4,2027,5.3
4,2028,5.3
4,2029,5.3
4,2030,3.2
4,2031,3.2
4,2032,3.2
4,2033,3.2
4,2034,3.2
4,2035,2.4
4,2036,2.4
4,2037,2.4
4,2038,2.4
4,2039,2.4
4,2040,1.6
4,2041,1.6
4,2042,1.6
4,2043,1.6
4,2044,1.6
4,2045,0.8
4,2046,0.8
4,2047,0.8
4,2048,0.8
4,2049,0.8
4,2050,0.0
5,2025,5.3
5,2026,5.3
5,2027,5.3
5,2028,5.3
5,2029,5.3
5,2030,3.2
5,2031,3.2
5,2032,3.2
5,2033,3.2
5,2034,3.2
5,2035,2.4
5,2036,2.4
5,2037,2.4
5,2038,2.4
5,2039,2.4
5,2040,1.6
5,2041,1.6
5,2042,1.6
5,2043,1.6
5,2044,1.6
5,2045,0.8
5,2046,0.8
5,2047,0.8
5,2048,0.8
5,2049,0.8
5,2050,0.0
6,2025,5.3
6,2026,5.3
6,2027,5.3
6,2028,5.3
6,2029,5.3
6,2030,3.2
6,2031,3.2
6,2032,3.2
6,2033,3.2
6,2034,3.2
6,2035,2.4
6,2036,2.4
6,2037,2.4
6,2038,2.4
6,2039,2.4
6,2040,1.6
6,2041,1.6
6,2042,1.6
6,2043,1.6
6,2044,1.6
6,2045,0.8
6,2046,0.8
6,2047,0.8
6,2048,0.8
6,2049,0.8
6,2050,0.0
7,2025,5.3
7,2026,5.3
7,2027,5.3
7,2028,5.3
7,2029,5.3
7,2030,3.2
7,2031,3.2
7,2032,3.2
7,2033,3.2
7,2034,3.2
7,2035,2.4
7,2036,2.4
7,2037,2.4
7,2038,2.4
7,2039,2.4
7,2040,1.6
7,2041,1.6
7,2042,1.6
7,2043,1.6
7,2044,1.6
7,2045,0.8
