_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address Zip Code,Parcel Address,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft2),Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Estimated Total GHG Emissions (kgCO2e)
2758,100011,306234010.0,1000 WASHINGTON (BOSTON),1000-1020 Washington St,2118.0,321 Harrison Av,2118.0,,,,,,,,,,,,,,,,,,,
2759,100017,304717000.0,101BOS LLC,100-102 Tremont St,2108.0,75 59 Bromfield St,2108.0,,,,,,,,,,,,,,,,,,,
2760,100018,2100472000.0,1047 COMMONWEALTH PROJECT OWNER LLC,1047 Commonwealth Ave,2134.0,1047 Commonwealth Av,2134.0,,,,,,,,,,,,,,,,,,,
2761,100025,2100753000.0,1139 COMMONWEALTH LLC MASS LLC,1139 Commonwealth Ave,2134.0,1139 Commonwealth Av,2134.0,,,,,,,,,,,,,,,,,,,
4533,100026,802471000.0,12 MOUNT VERNON STREET LLC,1127-1131 Harrison Ave,2119.0,14 26 Palmer St,2119.0,,,,,,,,,,,,,,,,,,,
4534,100029,1809104000.0,1217 HP REALTY TRUST,1217 Hyde Park Ave,2136.0,1217 R1217 Hyde Park Av,2136.0,,,,,,,,,,,,,,,,,,,
2762,100030,703576000.0,1246 MASS AVE LLC,1246-1250 Massachusetts Ave,2125.0,1246 Massachusetts Av,2125.0,,,,,,,,,,,,,,,,,,,
4535,100040,1500287000.0,1334 DOT LLC,1334-1342 Dorchester Ave,2122.0,1342 1334 Dorchester Av,2122.0,,,,,,,,,,,,,,,,,,,
4536,100042,2100842000.0,138 HARVARD LLC,138 Harvard Ave,2134.0,138 Harvard Av,2134.0,,,,,,,,,,,,,,,,,,,
2763,100043,304692050.0,14 BEACON STREET LLC,14 14A Beacon St,2108.0,14 14A Beacon St,2108.0,,,,,,,,,,,,,,,,,,,
4537,100044,600030000.0,14 WEST CONDOMINIUM TRUST,14  16 W Broadway,2127.0,14 16 W Broadway,2127.0,,,,,,,,,,,,,,,,,,,
2764,100052,802549000.0,150 DUDLEY LLC,152-156 Dudley St,2119.0,150 156 Dudley St,2119.0,,,,,,,,,,,,,,,,,,,
4538,100053,600301000.0,150 WEST BROADWAY CONDOMINIUM TRUST,150 W Broadway,2127.0,152 156 W Broadway,2127.0,,,,,,,,,,,,,,,,,,,
4539,100061,1809452001.0,1717 HYDE PARK AVENUE LLC,1717-1719 Hyde Park Ave,2136.0,1725 Hyde Park Av,2136.0,,,,,,,,,,,,,,,,,,,
4540,100062,304445000.0,18-20 OXFORD STREET LLC,18-20 Oxford St,2111.0,20 18 Oxford St,2111.0,,,,,,,,,,,,,,,,,,,
4541,100068,1100994000.0,1890 COLUMBUS AVE LLC,Bragdon St,2119.0,Bragdon St,2119.0,,,,,,,,,,,,,,,,,,,
2765,100077,401398000.0,20 HEMENWAY ST LLC,20 Hemenway St,2115.0,20 Hemenway St,2115.0,,,,,,,,,,,,,,,,,,,
2766,100078,2201824010.0,20 PENNIMAN ROAD REALTY TRUST,20 Penniman Rd,2134.0,20 Penniman Rd,2134.0,,,,,,,,,,,,,,,,,,,
2767,100081,500139000.0,201 STUART STREET (OWNER) LLC,201-241 Stuart St,2116.0,201 241 Stuart St,2116.0,,,,,,,,,,,,,,,,,,,
4542,100087,700421000.0,232 OLD COLONY CONDOMINIUM TRUST,232 Old Colony Av,2127.0,232 Old Colony Av,2127.0,,,,,,,,,,,,,,,,,,,
4543,100089,301658000.0,234 FRIEND STREET LLC,234 Friend St,2114.0,234 232 Friend St,2114.0,,,,,,,,,,,,,,,,,,,
2768,100092,302417000.0,244 HANOVER STREET LLC,20 Parmenter St,2113.0,20 Parmenter St,2113.0,,,,,,,,,,,,,,,,,,,
2636,100093,305364005.0,245 SUMMER STREET LLC,245 Summer St,2210.0,245 Summer St,2210.0,906422.0,Office,"Restaurant , Office , Data Center , Financial Office ",,,,53285204.0,,,,,,,,,,,,
4544,100099,1400137000.0,259 QUINCY STREET LLC,259 Quincy St,2121.0,259 Quincy St,2121.0,,,,,,,,,,,,,,,,,,,
2769,100100,503173010.0,261 NEWBURY STREET LLC,257-261 Newbury St,2116.0,257 261 Newbury St,2116.0,,,,,,,,,,,,,,,,,,,
2770,100102,502641000.0,280 BEACON STREET,280 Beacon St,2116.0,280 Beacon St,2116.0,,,,,,,,,,,,,,,,,,,
4545,100103,301652000.0,280 BEACON STREET,101-111 Causeway St,2114.0,101 111 Causeway St,2114.0,,,,,,,,,,,,,,,,,,,
2771,100105,1600589000.0,286 ADAMS STREET LLC,286 Adams St,2122.0,101 Park St,2122.0,,,,,,,,,,,,,,,,,,,
2772,100111,304947000.0,30 KNEELAND LLC,24-44 Kneeland St,2111.0,24 44 Kneeland St,2111.0,,,,,,,,,,,,,,,,,,,
2773,100114,600480000.0,301 WEST BROADWAY CONDOMINIUM TRUST,301-305 W Broadway,2127.0,247 251 D St,2127.0,,,,,,,,,,,,,,,,,,,
4546,100115,900879000.0,31 HEATH STREET REALTY PARTNERS LLC,1759-1763 Washington St,2118.0,631 631A Massachusetts Av,2118.0,,,,,,,,,,,,,,,,,,,
2774,100117,2001397000.0,317 BELGRADE LLC,317-325 Belgrade Ave,2131.0,317 Belgrade Av,2131.0,,,,,,,,,,,,,,,,,,,
2775,100118,602761100.0,319 A STREET CONDOMINIUM TRUST,319 A St,2210.0,319 A St,2210.0,,,,,,,,,,,,,,,,,,,
2776,100119,1102013000.0,3193 WASHINGTON DEVELOPMENT LLC,3193-3201 Washington St,2130.0,3193 3201 Washington St,2130.0,,,,,,,,,,,,,,,,,,,
4547,100121,600023000.0,32-42 WB REALTY TRUST,36-42 W Broadway,2127.0,36 42 W Broadway,2127.0,,,,,,,,,,,,,,,,,,,
4548,100122,104128000.0,320 MAVERICK PLACE CONDOMINIUM  TRUST,320 Maverick St,2128.0,320 Maverick St,2128.0,,,,,,,,,,,,,,,,,,,
2777,100123,1102371010.0,3200 WASHINGTON STREET LLC,3190  3204 Washington St,2130.0,3190 3204 Washington St,2130.0,,,,,,,,,,,,,,,,,,,
2778,100125,1102589000.0,3383 HOLDINGS LLC,3385-3389 Washington St,2130.0,3383 - 3389R Washington St,2130.0,,,,,,,,,,,,,,,,,,,
4549,100126,601727000.0,340 WEST SECOND STREET LLC,340 W Second St,2127.0,340 W Second St,2127.0,,,,,,,,,,,,,,,,,,,
